review_week,total_reviews,negative_reviews,positive_reviews,negative_rate,rolling_negative_reviews_4w,rolling_total_reviews_4w,negative_rate_4w
2026-01-26,90,16,74,0.17777777777777778,NA,NA,NA
2026-02-02,213,38,175,0.1784037558685446,NA,NA,NA
2026-02-09,274,55,219,0.20072992700729927,NA,NA,NA
2026-02-16,703,123,580,0.17496443812233287,232,1280,0.18125
2026-02-23,482,83,399,0.17219917012448133,299,1672,0.17882775119617225
2026-03-02,323,56,267,0.17337461300309598,317,1782,0.17789001122334455
2026-03-09,247,41,206,0.1659919028340081,303,1755,0.17264957264957265
2026-03-16,184,50,134,0.2717391304347826,230,1236,0.18608414239482202
2026-03-23,134,30,104,0.22388059701492538,177,888,0.19932432432432431
2026-03-30,199,40,159,0.20100502512562815,161,764,0.2107329842931937
2026-04-06,240,50,190,0.20833333333333334,170,757,0.22457067371202113
2026-04-13,181,48,133,0.26519337016574585,168,754,0.22281167108753316
2026-04-20,115,33,82,0.28695652173913044,171,735,0.23265306122448978
2026-04-27,107,32,75,0.29906542056074764,163,643,0.2534992223950233
2026-05-04,110,23,87,0.20909090909090908,136,513,0.2651072124756335
2026-05-11,84,22,62,0.2619047619047619,110,416,0.2644230769230769
2026-05-18,103,27,76,0.2621359223300971,104,404,0.25742574257425743
2026-05-25,78,24,54,0.3076923076923077,96,375,0.256
2026-06-01,189,51,138,0.2698412698412698,124,454,0.27312775330396477
2026-06-08,400,82,318,0.205,184,770,0.23896103896103896
2026-06-15,306,70,236,0.22875816993464052,227,973,0.23329907502569372
2026-06-22,214,49,165,0.22897196261682243,252,1109,0.2272317403065825
