keyword,n,review_share,scope
优化很差,548,0.10966579947968781,all_reviews
帧数下降,534,0.10686411847108265,all_reviews
闪退崩溃,431,0.08625175105063038,all_reviews
更新之后卡顿,112,0.022413448068841303,all_reviews
怪物设计差,93,0.018611166700020013,all_reviews
退款,85,0.017010206123674206,all_reviews
bug,80,0.016009605763458074,all_reviews
联机掉线,30,0.006003602161296778,all_reviews
怪物设计不错,22,0.004402641584950971,all_reviews
性能问题,14,0.002801681008605163,all_reviews
战斗节奏慢,8,0.0016009605763458075,all_reviews
服务器问题,6,0.0012007204322593557,all_reviews
加载慢,5,0.0010006003602161296,all_reviews
键鼠适配差,2,4.0024014408645187e-4,all_reviews
